"","State","County","Census_Pop_2020","Population_Estimate_2023","Births_2023","Deaths_2023"
"3078","WI","Green County",37093,36951,351,397
"3079","WI","Green Lake County",19018,19344,203,286
"3080","WI","Iowa County",23709,23956,258,211
"3081","WI","Iron County",6137,6228,40,108
"3082","WI","Jackson County",21145,20855,213,237
"3083","WI","Jefferson County",84900,85743,789,858
"3084","WI","Juneau County",26718,26594,221,372
"3085","WI","Kenosha County",169151,167488,1681,1627
"3086","WI","Kewaunee County",20563,20690,197,205
"3087","WI","La Crosse County",120784,120486,1113,1103
"3088","WI","Lafayette County",16611,16945,248,166
"3089","WI","Langlade County",19491,19404,175,306
"3090","WI","Lincoln County",28415,28405,253,436
"3091","WI","Manitowoc County",81359,81331,726,917
"3092","WI","Marathon County",138013,138612,1437,1366
"3093","WI","Marinette County",41872,42106,359,597
"3094","WI","Marquette County",15592,15838,127,250
"3095","WI","Menominee County",4255,4226,64,69
"3096","WI","Milwaukee County",939489,916205,11327,8928
"3097","WI","Monroe County",46274,46151,575,537
"3098","WI","Oconto County",38965,39775,333,416
"3099","WI","Oneida County",37845,38226,265,521
"3100","WI","Outagamie County",190705,193234,2109,1593
"3101","WI","Ozaukee County",91503,93460,814,883
"3102","WI","Pepin County",7318,7441,76,82
"3103","WI","Pierce County",42212,43026,395,366
"3104","WI","Polk County",44977,45762,401,567
"3105","WI","Portage County",70377,71024,599,696
"3106","WI","Price County",14054,14102,93,210
"3107","WI","Racine County",197727,196613,2132,2127
"3108","WI","Richland County",17304,17197,175,231
"3109","WI","Rock County",163687,164278,1765,1703
"3110","WI","Rusk County",14188,14143,120,237
"3111","WI","St. Croix County",93536,96763,1019,787
"3112","WI","Sauk County",65763,65920,701,733
"3113","WI","Sawyer County",18074,18552,136,275
"3114","WI","Shawano County",40881,41109,431,495
"3115","WI","Sheboygan County",118034,117752,1111,1218
"3116","WI","Taylor County",19913,20058,216,221
"3117","WI","Trempealeau County",30760,30899,382,304
"3118","WI","Vernon County",30714,31170,408,357
"3119","WI","Vilas County",23047,23885,160,358
"3120","WI","Walworth County",106478,105822,913,1054
"3121","WI","Washburn County",16623,16930,124,277
"3122","WI","Washington County",136761,138168,1264,1325
"3123","WI","Waukesha County",406978,412591,3717,3936
"3124","WI","Waupaca County",51812,51388,462,739
"3125","WI","Waushara County",24520,24934,180,329
"3126","WI","Winnebago County",171730,171735,1673,1649
"3127","WI","Wood County",74207,73939,693,1008
"3128","WY","Albany County",37066,38257,307,237
"3129","WY","Big Horn County",11521,12018,132,155
"3130","WY","Campbell County",47026,47498,567,335
"3131","WY","Carbon County",14537,14334,144,154
"3132","WY","Converse County",13751,13809,127,145
"3133","WY","Crook County",7181,7592,87,84
"3134","WY","Fremont County",39234,39815,442,514
"3135","WY","Goshen County",12498,12642,110,176
"3136","WY","Hot Springs County",4621,4661,34,84
"3137","WY","Johnson County",8447,8759,76,102
"3138","WY","Laramie County",100512,100984,1121,1054
"3139","WY","Lincoln County",19581,20880,209,152
