"","State","County","Census_Pop_2020","Population_Estimate_2023","Births_2023","Deaths_2023"
"358","FL","Indian River County",159788,169795,1273,2501
"359","FL","Jackson County",47319,48622,521,715
"360","FL","Jefferson County",14510,15450,136,209
"361","FL","Lafayette County",8226,8078,71,112
"362","FL","Lake County",383956,424462,3689,5126
"363","FL","Lee County",760822,834573,7477,8597
"364","FL","Leon County",292198,296913,2791,2309
"365","FL","Levy County",42915,46545,395,670
"366","FL","Liberty County",7974,7706,74,78
"367","FL","Madison County",17968,18519,173,302
"368","FL","Manatee County",399710,441095,3761,4744
"369","FL","Marion County",375908,409959,3638,6118
"370","FL","Martin County",158431,163315,1294,2241
"371","FL","Miami-Dade County",2701767,2686867,29339,22335
"372","FL","Monroe County",82874,80614,734,799
"373","FL","Nassau County",90352,101501,851,1126
"374","FL","Okaloosa County",211668,218464,2686,2136
"375","FL","Okeechobee County",39644,41427,552,586
"376","FL","Orange County",1429908,1471416,16620,9597
"377","FL","Osceola County",388656,437784,4916,3104
"378","FL","Palm Beach County",1492191,1533801,15166,15837
"379","FL","Pasco County",561891,632996,5625,7184
"380","FL","Pinellas County",959107,961596,7488,12433
"381","FL","Polk County",725046,818330,8932,8352
"382","FL","Putnam County",73321,75955,821,1233
"383","FL","St. Johns County",273425,320110,2469,2486
"384","FL","St. Lucie County",329226,373586,3605,4021
"385","FL","Santa Rosa County",188000,203162,2075,1929
"386","FL","Sarasota County",434006,469013,3003,6402
"387","FL","Seminole County",470856,484271,4677,3987
"388","FL","Sumter County",129752,151565,541,2530
"389","FL","Suwannee County",43474,46130,442,709
"390","FL","Taylor County",21796,21582,223,329
"391","FL","Union County",16147,15532,152,248
"392","FL","Volusia County",553543,590357,5051,8054
"393","FL","Wakulla County",33764,36449,342,410
"394","FL","Walton County",75305,86354,958,863
"395","FL","Washington County",25318,25602,278,370
"396","GA","Appling County",18444,18457,207,238
"397","GA","Atkinson County",8286,8293,131,125
"398","GA","Bacon County",11140,11124,133,166
"399","GA","Baker County",2876,2743,27,43
"400","GA","Baldwin County",43799,43396,386,525
"401","GA","Banks County",18035,19789,245,241
"402","GA","Barrow County",83505,92792,1151,800
"403","GA","Bartow County",108901,115041,1326,1139
"404","GA","Ben Hill County",17194,17128,211,273
"405","GA","Berrien County",18160,18570,229,259
"406","GA","Bibb County",157346,156512,2060,1916
"407","GA","Bleckley County",12583,12465,128,171
"408","GA","Brantley County",18021,18401,208,246
"409","GA","Brooks County",16301,16245,161,220
"410","GA","Bryan County",44738,49739,628,340
"411","GA","Bulloch County",81099,84327,855,674
"412","GA","Burke County",24596,24438,270,276
"413","GA","Butts County",25434,26887,293,343
"414","GA","Calhoun County",5573,5457,45,65
"415","GA","Camden County",54768,58118,767,491
"416","GA","Candler County",10981,11059,145,195
"417","GA","Carroll County",119148,127098,1567,1270
"418","GA","Catoosa County",67872,68910,573,816
"419","GA","Charlton County",12518,12934,122,154
"420","GA","Chatham County",295291,303655,3676,2829
"421","GA","Chattahoochee County",9565,8661,174,38
"422","GA","Chattooga County",24965,25222,247,375
"423","GA","Cherokee County",266620,286602,2944,1984
"424","GA","Clarke County",128671,129933,1331,888
"425","GA","Clay County",2848,2853,28,45
"426","GA","Clayton County",297595,298300,3596,2194
"427","GA","Clinch County",6749,6746,94,85
"428","GA","Cobb County",766149,776743,8847,4858
"429","GA","Coffee County",43092,43317,566,498
"430","GA","Colquitt County",45898,46167,622,577
"431","GA","Columbia County",156010,165162,1835,1211
"432","GA","Cook County",17229,17714,222,238
"433","GA","Coweta County",146158,155892,1688,1321
"434","GA","Crawford County",12130,12277,100,202
"435","GA","Crisp County",20128,19631,242,282
"436","GA","Dade County",16251,16165,126,230
"437","GA","Dawson County",26798,31732,333,298
"438","GA","Decatur County",29367,29087,351,377
"439","GA","DeKalb County",764382,762992,10127,5199
"440","GA","Dodge County",19925,19776,182,291
"441","GA","Dooly County",11208,10981,98,158
"442","GA","Dougherty County",85790,82645,1101,1066
"443","GA","Douglas County",144237,149160,1698,1142
"444","GA","Early County",10854,10563,117,175
"445","GA","Echols County",3697,3709,49,35
"446","GA","Effingham County",64769,71541,847,597
"447","GA","Elbert County",19637,20013,223,306
"448","GA","Emanuel County",22768,23119,288,338
"449","GA","Evans County",10774,10754,122,133
"450","GA","Fannin County",25319,25955,186,434
"451","GA","Fayette County",119194,123351,916,1061
"452","GA","Floyd County",98584,100113,1119,1267
"453","GA","Forsyth County",251283,272887,2411,1559
"454","GA","Franklin County",23424,24782,279,341
"455","GA","Fulton County",1066710,1079105,11842,7153
"456","GA","Gilmer County",31353,32860,297,424
"457","GA","Glascock County",2884,2954,32,50
"458","GA","Glynn County",84499,86172,900,1032
"459","GA","Gordon County",57544,59757,660,688
"460","GA","Grady County",26236,26066,298,328
"461","GA","Greene County",18915,20722,141,254
"462","GA","Gwinnett County",957062,983526,11245,5081
"463","GA","Habersham County",46031,48757,526,552
"464","GA","Hall County",203136,217267,2694,1758
"465","GA","Hancock County",8735,8676,51,148
"466","GA","Haralson County",29919,32038,345,418
"467","GA","Harris County",34668,36654,305,334
"468","GA","Hart County",25828,27556,266,392
"469","GA","Heard County",11412,12034,114,167
"470","GA","Henry County",240712,254613,2777,1922
"471","GA","Houston County",163633,171974,2033,1454
"472","GA","Irwin County",9666,9120,99,150
"473","GA","Jackson County",75907,88615,1040,756
"474","GA","Jasper County",14588,16455,180,197
"475","GA","Jeff Davis County",14779,14906,163,212
"476","GA","Jefferson County",15709,15183,166,266
"477","GA","Jenkins County",8674,8627,94,129
"478","GA","Johnson County",9189,9282,97,138
"479","GA","Jones County",28347,28969,253,354
"480","GA","Lamar County",18500,20401,222,254
"481","GA","Lanier County",9877,10452,129,114
"482","GA","Laurens County",49570,49941,609,675
"483","GA","Lee County",33163,33872,315,299
"484","GA","Liberty County",65256,69210,1382,518
"485","GA","Lincoln County",7690,7879,87,113
"486","GA","Long County",16168,19594,278,145
"487","GA","Lowndes County",118251,120712,1618,1088
"488","GA","Lumpkin County",33488,35258,324,373
"489","GA","McDuffie County",21632,21799,265,298
"490","GA","McIntosh County",10975,11501,96,193
"491","GA","Macon County",12082,11817,124,175
"492","GA","Madison County",30120,32191,403,382
"493","GA","Marion County",7498,7440,71,122
"494","GA","Meriwether County",20613,20931,241,327
"495","GA","Miller County",6000,5747,56,114
"496","GA","Mitchell County",21755,21114,234,282
"497","GA","Monroe County",27957,30625,268,359
"498","GA","Montgomery County",8610,8761,107,134
"499","GA","Morgan County",20097,21460,210,257
"500","GA","Murray County",39973,41035,454,490
"501","GA","Muscogee County",206922,201877,2700,2140
"502","GA","Newton County",112483,120135,1306,1055
"503","GA","Oconee County",41799,44182,356,333
"504","GA","Oglethorpe County",14825,15754,162,187
"505","GA","Paulding County",168661,183164,2007,1223
"506","GA","Peach County",27981,28805,310,362
"507","GA","Pickens County",33216,35969,317,456
"508","GA","Pierce County",19716,20425,253,276
"509","GA","Pike County",18889,20461,196,245
"510","GA","Polk County",42853,44223,584,574
"511","GA","Pulaski County",9855,10095,96,158
"512","GA","Putnam County",22047,23129,211,339
"513","GA","Quitman County",2235,2280,18,43
"514","GA","Rabun County",16883,17442,151,256
"515","GA","Randolph County",6425,6078,57,106
"516","GA","Richmond County",206607,205414,2688,2245
"517","GA","Rockdale County",93570,95987,974,833
"518","GA","Schley County",4547,4526,50,57
"519","GA","Screven County",14067,14174,153,211
"520","GA","Seminole County",9147,9092,96,143
"521","GA","Spalding County",67306,69946,848,927
"522","GA","Stephens County",26784,27228,297,422
"523","GA","Stewart County",5314,4674,33,80
"524","GA","Sumter County",29616,28890,349,390
"525","GA","Talbot County",5733,5718,46,93
"526","GA","Taliaferro County",1559,1609,13,32
"527","GA","Tattnall County",22842,24296,290,283
"528","GA","Taylor County",7816,7758,69,129
"529","GA","Telfair County",12477,10920,126,177
"530","GA","Terrell County",9185,8718,88,137
"531","GA","Thomas County",45798,45649,526,602
"532","GA","Tift County",41344,41554,513,491
"533","GA","Toombs County",27030,27040,384,382
"534","GA","Towns County",12493,13035,99,226
"535","GA","Treutlen County",6406,6341,79,97
"536","GA","Troup County",69426,70742,920,795
"537","GA","Turner County",9006,8909,115,131
"538","GA","Twiggs County",8022,7691,56,153
"539","GA","Union County",24632,27124,175,399
"540","GA","Upson County",27700,28263,329,451
"541","GA","Walker County",67654,69489,603,879
"542","GA","Walton County",96673,106702,1146,1035
"543","GA","Ware County",36251,36243,459,547
"544","GA","Warren County",5215,5106,51,84
"545","GA","Washington County",19988,19820,205,273
"546","GA","Wayne County",30144,31373,339,442
"547","GA","Webster County",2348,2337,18,28
"548","GA","Wheeler County",7471,7081,70,76
"549","GA","White County",28003,29026,272,408
"550","GA","Whitfield County",102864,103687,1204,979
"551","GA","Wilcox County",8766,8779,83,146
"552","GA","Wilkes County",9565,9518,94,169
"553","GA","Wilkinson County",8877,8725,108,156
"554","GA","Worth County",20784,20273,208,299
"555","HI","Hawaii County",200629,207615,1945,2051
"556","HI","Honolulu County",1016508,989408,10799,8770
"557","HI","Kalawao County",82,81,0,0
"558","HI","Kauai County",73298,73851,779,640
"559","HI","Maui County",164754,164183,1644,1351
"560","ID","Ada County",494967,524673,5080,3781
"561","ID","Adams County",4379,4903,28,53
"562","ID","Bannock County",87018,90400,1059,871
"563","ID","Bear Lake County",6372,6766,77,68
"564","ID","Benewah County",9530,10369,104,150
"565","ID","Bingham County",47992,50395,667,471
"566","ID","Blaine County",24272,25041,199,153
"567","ID","Boise County",7610,8517,68,84
"568","ID","Bonner County",47110,52547,448,549
"569","ID","Bonneville County",123964,131366,1803,994
"570","ID","Boundary County",12056,13557,151,153
"571","ID","Butte County",2574,2758,33,37
"572","ID","Camas County",1077,1232,11,6
"573","ID","Canyon County",231105,257674,3341,1970
"574","ID","Caribou County",7027,7219,85,76
"575","ID","Cassia County",24655,25696,366,228
"576","ID","Clark County",790,801,19,5
"577","ID","Clearwater County",8734,9214,67,136
"578","ID","Custer County",4275,4523,33,66
"579","ID","Elmore County",28666,29724,459,245
"580","ID","Franklin County",14194,15494,216,124
"581","ID","Fremont County",13388,14196,186,143
"582","ID","Gem County",19123,21071,204,256
"583","ID","Gooding County",15598,16061,226,166
"584","ID","Idaho County",16541,17890,170,228
"585","ID","Jefferson County",30891,34198,448,238
"586","ID","Jerome County",24237,25479,364,223
"587","ID","Kootenai County",171362,185010,1879,1782
"588","ID","Latah County",39517,41301,431,295
"589","ID","Lemhi County",7974,8441,64,129
"590","ID","Lewis County",3533,3739,33,61
"591","ID","Lincoln County",5127,5450,66,38
"592","ID","Madison County",52913,54547,1110,210
"593","ID","Minidoka County",21613,22480,304,212
"594","ID","Nez Perce County",42090,42987,395,591
"595","ID","Oneida County",4564,4953,57,55
"596","ID","Owyhee County",11913,12722,148,137
"597","ID","Payette County",25386,27279,326,302
"598","ID","Power County",7878,8253,111,62
"599","ID","Shoshone County",13169,14026,154,227
"600","ID","Teton County",11630,12549,129,63
"601","ID","Twin Falls County",90046,95156,1137,923
"602","ID","Valley County",11746,12644,84,96
"603","ID","Washington County",10500,11425,116,160
"604","IL","Adams County",65737,64441,700,834
"605","IL","Alexander County",5240,4695,30,104
"606","IL","Bond County",16725,16450,130,203
"607","IL","Boone County",53448,53202,512,485
"608","IL","Brown County",6244,6294,56,61
"609","IL","Bureau County",33244,32729,319,425
"610","IL","Calhoun County",4437,4317,27,82
"611","IL","Carroll County",15702,15526,124,226
"612","IL","Cass County",13042,12596,158,139
"613","IL","Champaign County",205865,205644,2090,1504
"614","IL","Christian County",34032,33228,284,449
"615","IL","Clark County",15455,15088,87,225
"616","IL","Clay County",13288,12999,163,184
"617","IL","Clinton County",36899,36785,375,368
"618","IL","Coles County",46863,46060,449,566
"619","IL","Cook County",5275541,5087072,53124,43149
"620","IL","Crawford County",18679,18300,147,250
"621","IL","Cumberland County",10450,10261,100,134
"622","IL","DeKalb County",100420,100288,1040,818
"623","IL","De Witt County",15516,15365,165,201
"624","IL","Douglas County",19740,19629,243,239
"625","IL","DuPage County",932877,921213,9715,6667
"626","IL","Edgar County",16866,16334,112,259
"627","IL","Edwards County",6245,5968,28,88
"628","IL","Effingham County",34668,34331,374,391
"629","IL","Fayette County",21488,21164,188,252
"630","IL","Ford County",13534,13250,144,210
"631","IL","Franklin County",37804,37138,399,587
"632","IL","Fulton County",33609,32541,263,503
"633","IL","Gallatin County",4946,4670,24,91
"634","IL","Greene County",11985,11543,91,185
"635","IL","Grundy County",52533,53578,580,508
"636","IL","Hamilton County",7993,7911,73,105
"637","IL","Hancock County",17620,17186,178,228
"638","IL","Hardin County",3649,3569,27,83
"639","IL","Henderson County",6387,6088,55,95
"640","IL","Henry County",49284,48448,505,569
"641","IL","Iroquois County",27077,26136,273,424
"642","IL","Jackson County",52974,52141,542,569
"643","IL","Jasper County",9287,9144,83,121
"644","IL","Jefferson County",37113,36320,402,504
"645","IL","Jersey County",21512,21091,151,292
"646","IL","Jo Daviess County",22035,21756,143,280
"647","IL","Johnson County",13308,13326,101,168
"648","IL","Kane County",516522,514982,5581,3707
"649","IL","Kankakee County",107502,105940,1136,1243
"650","IL","Kendall County",131869,139976,1566,751
"651","IL","Knox County",49967,48411,459,717
"652","IL","Lake County",714342,708760,6534,4977
"653","IL","LaSalle County",109658,108309,1119,1328
"654","IL","Lawrence County",15280,14813,90,194
"655","IL","Lee County",34145,33654,343,405
"656","IL","Livingston County",35815,35320,383,480
"657","IL","Logan County",27987,27590,254,342
"658","IL","McDonough County",27238,26839,233,319
"659","IL","McHenry County",310229,312800,3060,2421
"660","IL","McLean County",170954,170441,1692,1356
"661","IL","Macon County",103998,100591,1149,1346
"662","IL","Macoupin County",44967,44018,369,635
"663","IL","Madison County",265859,262752,2189,3108
"664","IL","Marion County",37729,36673,421,560
"665","IL","Marshall County",11742,11683,121,181
"666","IL","Mason County",13086,12523,87,211
"667","IL","Massac County",14169,13661,81,238
"668","IL","Menard County",12297,11954,109,153
"669","IL","Mercer County",15699,15487,137,207
"670","IL","Monroe County",34962,34957,134,347
"671","IL","Montgomery County",28288,27663,235,392
"672","IL","Morgan County",32915,32140,327,448
"673","IL","Moultrie County",14526,14342,162,204
"674","IL","Ogle County",51788,51265,519,562
"675","IL","Peoria County",181830,177513,2008,1989
"676","IL","Perry County",20945,20503,177,277
"677","IL","Piatt County",16673,16714,155,187
"678","IL","Pike County",14739,14342,158,233
"679","IL","Pope County",3763,3707,26,70
"680","IL","Pulaski County",5193,4911,37,107
"681","IL","Putnam County",5637,5561,42,62
"682","IL","Randolph County",30163,29815,251,400
"683","IL","Richland County",15813,15488,141,249
"684","IL","Rock Island County",144672,141236,1622,1663
"685","IL","St. Clair County",257400,251018,2168,2775
"686","IL","Saline County",23768,22873,230,380
"687","IL","Sangamon County",196343,193491,1850,2074
"688","IL","Schuyler County",6902,6733,66,100
"689","IL","Scott County",4949,4710,34,68
"690","IL","Shelby County",20990,20568,180,294
"691","IL","Stark County",5400,5218,44,86
"692","IL","Stephenson County",44630,43105,314,623
"693","IL","Tazewell County",131343,129541,1201,1597
"694","IL","Union County",17244,16667,136,253
"695","IL","Vermilion County",74188,71652,849,1115
"696","IL","Wabash County",11361,10942,39,161
"697","IL","Warren County",16835,16185,196,210
"698","IL","Washington County",13761,13536,111,170
"699","IL","Wayne County",16179,15761,137,252
"700","IL","White County",13877,13401,86,243
"701","IL","Whiteside County",55691,54498,537,743
"702","IL","Will County",696355,700728,6953,5180
"703","IL","Williamson County",67153,66706,633,854
"704","IL","Winnebago County",285350,280922,3193,3290
"705","IL","Woodford County",38467,38285,397,420
"706","IN","Adams County",35809,36288,629,369
"707","IN","Allen County",385410,394545,5282,3520
"708","IN","Bartholomew County",82208,84003,1031,820
"709","IN","Benton County",8719,8729,90,108
"710","IN","Blackford County",12112,11893,130,202
"711","IN","Boone County",70812,76120,879,609
"712","IN","Brown County",15475,15653,94,199
"713","IN","Carroll County",20306,20525,193,233
"714","IN","Cass County",37870,37666,474,464
"715","IN","Clark County",121093,125467,1309,1413
"716","IN","Clay County",26466,26460,302,343
"717","IN","Clinton County",33190,32730,395,416
"718","IN","Crawford County",10526,10438,97,161
"719","IN","Daviess County",33381,33656,532,338
"720","IN","Dearborn County",50679,51215,380,571
"721","IN","Decatur County",26472,26399,309,334
"722","IN","DeKalb County",43265,44198,544,474
"723","IN","Delaware County",111903,112321,1124,1425
"724","IN","Dubois County",43637,43546,498,497
"725","IN","Elkhart County",207047,206409,2878,1901
"726","IN","Fayette County",23398,23362,241,362
"727","IN","Floyd County",80484,80809,703,879
"728","IN","Fountain County",16479,16731,224,254
"729","IN","Franklin County",22785,23096,198,256
"730","IN","Fulton County",20480,20358,234,283
"731","IN","Gibson County",33011,32904,373,385
"732","IN","Grant County",66674,66200,745,1038
"733","IN","Greene County",30803,31196,343,431
"734","IN","Hamilton County",347467,371645,4009,2099
"735","IN","Hancock County",79840,86166,872,851
"736","IN","Harrison County",39654,40006,382,497
"737","IN","Hendricks County",174788,186387,1841,1337
"738","IN","Henry County",48914,48929,420,679
"739","IN","Howard County",83658,83831,947,1217
"740","IN","Huntington County",36662,36781,412,492
"741","IN","Jackson County",46428,46460,598,529
"742","IN","Jasper County",32918,33535,384,412
"743","IN","Jay County",20478,20032,279,295
"744","IN","Jefferson County",33147,33056,347,417
"745","IN","Jennings County",27613,27622,291,344
"746","IN","Johnson County",161765,167819,1886,1560
"747","IN","Knox County",36282,36070,411,471
"748","IN","Kosciusko County",80240,80364,903,850
"749","IN","LaGrange County",40446,40907,668,305
"750","IN","Lake County",498700,500598,5653,5407
"751","IN","LaPorte County",112417,111706,1180,1274
"752","IN","Lawrence County",45011,45084,502,674
"753","IN","Madison County",130129,132504,1402,1757
"754","IN","Marion County",977203,968460,13736,9122
"755","IN","Marshall County",46095,46352,567,519
"756","IN","Martin County",9812,9897,144,127
"757","IN","Miami County",35962,35402,340,496
"758","IN","Monroe County",139718,139342,1146,1082
"759","IN","Montgomery County",37936,38573,445,461
"760","IN","Morgan County",71780,73227,797,824
"761","IN","Newton County",13830,13960,152,219
"762","IN","Noble County",47457,47430,603,528
"763","IN","Ohio County",5940,6004,47,89
"764","IN","Orange County",19867,19638,213,304
"765","IN","Owen County",21321,21532,55,305
"766","IN","Parke County",16156,16484,209,192
"767","IN","Perry County",19170,19209,164,239
"768","IN","Pike County",12250,12106,130,185
"769","IN","Porter County",173215,175335,1693,1729
"770","IN","Posey County",25222,25040,205,245
"771","IN","Pulaski County",12514,12385,123,207
"772","IN","Putnam County",36726,37567,350,414
"773","IN","Randolph County",24502,24216,286,401
"774","IN","Ripley County",28995,29227,334,404
"775","IN","Rush County",16752,16847,200,220
"776","IN","St. Joseph County",272912,272848,3286,2826
"777","IN","Scott County",24384,24657,279,425
"778","IN","Shelby County",45055,45231,479,510
"779","IN","Spencer County",19810,19910,187,270
"780","IN","Starke County",23371,23206,236,363
"781","IN","Steuben County",34435,34917,356,375
"782","IN","Sullivan County",20817,20757,212,270
"783","IN","Switzerland County",9737,10019,111,118
"784","IN","Tippecanoe County",186251,188792,2028,1367
"785","IN","Tipton County",15359,15256,148,223
"786","IN","Union County",7087,6973,62,90
"787","IN","Vanderburgh County",180136,179810,2159,2108
"788","IN","Vermillion County",15439,15417,171,227
"789","IN","Vigo County",106153,106153,1167,1226
"790","IN","Wabash County",30976,30670,313,504
"791","IN","Warren County",8440,8518,87,95
"792","IN","Warrick County",63898,65867,584,673
"793","IN","Washington County",28182,28205,303,381
"794","IN","Wayne County",66553,66127,748,943
"795","IN","Wells County",28180,28555,314,347
"796","IN","White County",24688,24917,423,311
"797","IN","Whitley County",34191,34742,377,363
"798","IA","Adair County",7496,7389,85,120
"799","IA","Adams County",3704,3544,39,56
"800","IA","Allamakee County",14061,14074,177,155
"801","IA","Appanoose County",12317,12119,126,190
"802","IA","Audubon County",5674,5534,61,83
"803","IA","Benton County",25575,25796,263,247
"804","IA","Black Hawk County",131144,130471,1629,1352
"805","IA","Boone County",26715,26590,281,350
"806","IA","Bremer County",24988,25307,250,256
"807","IA","Buchanan County",20565,20691,254,223
"808","IA","Buena Vista County",20823,20567,304,181
"809","IA","Butler County",14334,14172,152,192
"810","IA","Calhoun County",9927,9763,94,141
"811","IA","Carroll County",20760,20522,250,286
"812","IA","Cass County",13127,13130,129,200
"813","IA","Cedar County",18505,18302,160,227
"814","IA","Cerro Gordo County",43127,42406,449,546
"815","IA","Cherokee County",11658,11605,125,174
"816","IA","Chickasaw County",12012,11658,132,147
"817","IA","Clarke County",9748,9588,127,154
"818","IA","Clay County",16384,16511,165,190
"819","IA","Clayton County",17043,16969,168,222
"820","IA","Clinton County",46460,46158,549,618
"821","IA","Crawford County",16525,16013,228,161
"822","IA","Dallas County",99678,111092,1413,599
"823","IA","Davis County",9110,9169,154,88
"824","IA","Decatur County",7645,7665,86,98
"825","IA","Delaware County",17488,17600,201,186
"826","IA","Des Moines County",38910,38253,415,509
"827","IA","Dickinson County",17703,18056,154,208
"828","IA","Dubuque County",99266,98887,1115,1018
"829","IA","Emmet County",9388,9229,95,124
"830","IA","Fayette County",19509,19210,205,262
"831","IA","Floyd County",15627,15326,164,204
"832","IA","Franklin County",10019,9875,130,122
"833","IA","Fremont County",6605,6458,67,95
"834","IA","Greene County",8771,8584,89,129
"835","IA","Grundy County",12329,12384,141,149
"836","IA","Guthrie County",10623,10722,95,133
"837","IA","Hamilton County",15039,14729,181,194
"838","IA","Hancock County",10795,10615,120,149
"839","IA","Hardin County",16878,16463,154,252
"840","IA","Harrison County",14582,14670,157,185
"841","IA","Henry County",20482,19547,194,243
"842","IA","Howard County",9469,9376,127,131
"843","IA","Humboldt County",9597,9500,124,120
"844","IA","Ida County",7005,6833,79,97
"845","IA","Iowa County",16662,16381,185,210
"846","IA","Jackson County",19485,19342,208,237
"847","IA","Jasper County",37813,37919,383,424
"848","IA","Jefferson County",15663,15440,144,189
"849","IA","Johnson County",152854,157528,1690,877
"850","IA","Jones County",20646,20900,192,227
"851","IA","Keokuk County",10033,9914,109,138
"852","IA","Kossuth County",14828,14396,164,194
"853","IA","Lee County",33555,32565,338,485
"854","IA","Linn County",230299,228972,2621,2063
"855","IA","Louisa County",10837,10513,113,120
"856","IA","Lucas County",8634,8747,115,124
"857","IA","Lyon County",11934,12324,158,96
"858","IA","Madison County",16548,16971,194,169
"859","IA","Mahaska County",22190,21874,232,266
"860","IA","Marion County",33414,33770,357,374
"861","IA","Marshall County",40105,40014,479,537
"862","IA","Mills County",14484,14633,123,160
"863","IA","Mitchell County",10565,10518,127,146
"864","IA","Monona County",8751,8493,92,150
"865","IA","Monroe County",7577,7504,83,111
"866","IA","Montgomery County",10330,10139,98,157
"867","IA","Muscatine County",43235,42218,467,468
"868","IA","O'Brien County",14182,14012,185,183
"869","IA","Osceola County",6192,5978,60,84
"870","IA","Page County",15211,15014,136,215
"871","IA","Palo Alto County",8996,8810,113,134
"872","IA","Plymouth County",25698,25722,306,264
"873","IA","Pocahontas County",7078,6976,77,103
"874","IA","Polk County",492401,505255,6560,4143
"875","IA","Pottawattamie County",93667,93179,946,1079
"876","IA","Poweshiek County",18662,18453,190,234
"877","IA","Ringgold County",4663,4642,43,81
"878","IA","Sac County",9814,9686,112,149
"879","IA","Scott County",174669,174270,1904,1722
"880","IA","Shelby County",11746,11806,113,152
"881","IA","Sioux County",35872,36246,508,267
"882","IA","Story County",98537,98566,840,625
"883","IA","Tama County",17135,16833,203,213
"884","IA","Taylor County",5896,5924,75,86
"885","IA","Union County",12138,11906,104,170
"886","IA","Van Buren County",7203,7266,100,93
"887","IA","Wapello County",35437,35166,453,471
"888","IA","Warren County",52403,55205,617,514
"889","IA","Washington County",22565,22560,278,263
"890","IA","Wayne County",6497,6557,88,84
"891","IA","Webster County",36999,36485,409,476
"892","IA","Winnebago County",10679,10571,96,125
"893","IA","Winneshiek County",20070,19815,179,210
"894","IA","Woodbury County",105941,105951,1426,1017
"895","IA","Worth County",7443,7297,79,93
"896","IA","Wright County",12943,12656,169,181
"897","KS","Allen County",12526,12412,124,196
"898","KS","Anderson County",7836,7838,102,104
"899","KS","Atchison County",16348,16016,172,218
"900","KS","Barber County",4228,4071,40,67
"901","KS","Barton County",25493,24899,314,351
"902","KS","Bourbon County",14360,14408,193,210
"903","KS","Brown County",9508,9250,113,156
"904","KS","Butler County",67380,68632,747,734
"905","KS","Chase County",2572,2579,36,32
"906","KS","Chautauqua County",3379,3347,23,65
"907","KS","Cherokee County",19362,19054,166,301
"908","KS","Cheyenne County",2616,2636,40,39
"909","KS","Clark County",1991,1847,21,32
"910","KS","Clay County",8117,8007,81,112
"911","KS","Cloud County",9032,8854,110,156
"912","KS","Coffey County",8360,8251,71,108
"913","KS","Comanche County",1689,1655,17,31
"914","KS","Cowley County",34549,34157,414,493
"915","KS","Crawford County",38972,38764,449,495
"916","KS","Decatur County",2764,2712,27,58
"917","KS","Dickinson County",18402,18445,190,278
"918","KS","Doniphan County",7510,7493,74,109
"919","KS","Douglas County",118785,120553,1069,796
"920","KS","Edwards County",2907,2733,29,59
"921","KS","Elk County",2483,2467,19,50
"922","KS","Ellis County",28934,28810,269,228
"923","KS","Ellsworth County",6376,6357,56,84
"924","KS","Finney County",38470,37466,560,320
"925","KS","Ford County",34287,33980,602,276
"926","KS","Franklin County",25996,26125,283,330
"927","KS","Geary County",36739,35047,946,271
"928","KS","Gove County",2718,2735,34,42
"929","KS","Graham County",2415,2376,28,41
"930","KS","Grant County",7352,7147,116,61
"931","KS","Gray County",5653,5743,84,64
"932","KS","Greeley County",1284,1181,17,26
"933","KS","Greenwood County",6016,5870,52,122
"934","KS","Hamilton County",2518,2437,45,26
"935","KS","Harper County",5485,5435,80,79
"936","KS","Harvey County",34024,33504,348,500
"937","KS","Haskell County",3780,3630,59,35
"938","KS","Hodgeman County",1723,1655,11,42
"939","KS","Jackson County",13232,13368,184,156
"940","KS","Jefferson County",18368,18327,167,203
"941","KS","Jewell County",2932,2847,29,59
"942","KS","Johnson County",609863,622237,6982,4443
"943","KS","Kearny County",3983,3823,74,48
"944","KS","Kingman County",7470,7066,77,260
"945","KS","Kiowa County",2460,2374,29,38
"946","KS","Labette County",20184,19728,207,290
"947","KS","Lane County",1574,1529,18,32
"948","KS","Leavenworth County",81881,83518,896,747
"949","KS","Lincoln County",2939,2920,29,42
"950","KS","Linn County",9591,9860,89,165
"951","KS","Logan County",2762,2665,35,49
"952","KS","Lyon County",32179,32172,370,314
"953","KS","McPherson County",30223,30091,329,395
"954","KS","Marion County",11823,11690,115,213
"955","KS","Marshall County",10038,9933,97,133
"956","KS","Meade County",4055,3911,49,59
"957","KS","Miami County",34191,35320,365,405
"958","KS","Mitchell County",5796,5719,69,96
"959","KS","Montgomery County",31486,30568,304,518
"960","KS","Morris County",5386,5334,53,71
"961","KS","Morton County",2701,2580,31,44
"962","KS","Nemaha County",10273,10114,130,120
"963","KS","Neosho County",15904,15420,188,239
"964","KS","Ness County",2687,2618,33,53
"965","KS","Norton County",5459,5330,48,53
"966","KS","Osage County",15766,15824,163,232
"967","KS","Osborne County",3500,3427,36,57
"968","KS","Ottawa County",5735,5818,66,74
"969","KS","Pawnee County",6253,6126,63,86
"970","KS","Phillips County",4981,4761,54,76
"971","KS","Pottawatomie County",25348,26382,375,217
"972","KS","Pratt County",9157,9082,115,128
"973","KS","Rawlins County",2561,2463,20,39
"974","KS","Reno County",61898,61497,662,777
"975","KS","Republic County",4674,4627,56,88
"976","KS","Rice County",9427,9260,105,142
"977","KS","Riley County",71959,71402,744,421
"978","KS","Rooks County",4919,4778,56,73
"979","KS","Rush County",2956,2830,28,56
"980","KS","Russell County",6691,6723,67,83
"981","KS","Saline County",54303,53098,606,689
"982","KS","Scott County",5151,4922,72,72
