"","State","County","Poverty_All_Ages_2023","Poverty_Pct_All_Ages_2023","Poverty_0to17_2023","Rural_Urban_Code_2023"
"1970","NC","Perquimans County",2000,15.1,596,8
"1971","NC","Person County",5646,14.3,1551,2
"1972","NC","Pitt County",32930,19.4,8514,3
"1973","NC","Polk County",2519,12.8,595,8
"1974","NC","Randolph County",22642,15.5,6607,2
"1975","NC","Richmond County",9314,22.6,3028,4
"1976","NC","Robeson County",31430,27.7,11354,4
"1977","NC","Rockingham County",12424,13.6,3415,2
"1978","NC","Rowan County",21559,14.6,6767,1
"1979","NC","Rutherford County",9750,15.2,2603,4
"1980","NC","Sampson County",10830,18.5,3744,6
"1981","NC","Scotland County",8813,28.6,3303,6
"1982","NC","Stanly County",7062,11,2034,6
"1983","NC","Stokes County",4721,10.5,1264,2
"1984","NC","Surry County",9804,13.9,2402,6
"1985","NC","Swain County",2125,15.6,684,9
"1986","NC","Transylvania County",4104,12.5,937,6
"1987","NC","Tyrrell County",693,21.4,203,9
"1988","NC","Union County",21166,8.4,6520,1
"1989","NC","Vance County",9705,23.2,3667,6
"1990","NC","Wake County",85051,7.2,21801,1
"1991","NC","Warren County",3655,20.3,1004,8
"1992","NC","Washington County",2382,22.6,742,9
"1993","NC","Watauga County",8796,18.6,806,5
"1994","NC","Wayne County",19717,17.1,6194,3
"1995","NC","Wilkes County",10555,16.3,2634,6
"1996","NC","Wilson County",14670,18.8,4786,4
"1997","NC","Yadkin County",4800,12.9,1348,2
"1998","NC","Yancey County",2984,15.9,727,8
"1999","ND","Adams County",247,11.8,53,9
"2000","ND","Barnes County",1168,11.5,233,6
"2001","ND","Benson County",1283,22.7,534,9
"2002","ND","Billings County",108,10.5,32,9
"2003","ND","Bottineau County",659,10.8,160,8
"2004","ND","Bowman County",267,9.5,75,9
"2005","ND","Burke County",192,9,49,8
"2006","ND","Burleigh County",7402,7.7,1638,3
"2007","ND","Cass County",18222,9.7,3388,3
"2008","ND","Cavalier County",324,9.2,89,9
"2009","ND","Dickey County",541,11.5,148,9
"2010","ND","Divide County",205,9.8,60,9
"2011","ND","Dunn County",440,11.2,156,9
"2012","ND","Eddy County",253,11.5,64,9
"2013","ND","Emmons County",434,13.7,97,8
"2014","ND","Foster County",368,11.4,74,9
"2015","ND","Golden Valley County",199,11.7,46,9
"2016","ND","Grand Forks County",8589,12.5,1409,3
"2017","ND","Grant County",354,16.3,107,8
"2018","ND","Griggs County",250,11.6,70,9
"2019","ND","Hettinger County",289,12.7,91,9
"2020","ND","Kidder County",330,14.2,80,8
"2021","ND","LaMoure County",378,9.4,83,9
"2022","ND","Logan County",254,14.1,79,9
"2023","ND","McHenry County",624,12.3,179,3
"2024","ND","McIntosh County",323,13.5,85,9
"2025","ND","McKenzie County",1141,8.1,392,7
"2026","ND","McLean County",954,9.9,207,8
"2027","ND","Mercer County",663,8.1,156,8
"2028","ND","Morton County",2625,7.9,797,3
"2029","ND","Mountrail County",1080,11.6,395,8
"2030","ND","Nelson County",281,9.8,50,8
"2031","ND","Oliver County",202,10.8,65,3
"2032","ND","Pembina County",580,8.9,115,9
"2033","ND","Pierce County",414,11,107,9
"2034","ND","Ramsey County",1366,12.4,403,7
"2035","ND","Ransom County",502,9.3,128,8
"2036","ND","Renville County",186,8.3,42,3
"2037","ND","Richland County",1707,10.9,377,6
"2038","ND","Rolette County",2716,23.5,925,9
"2039","ND","Sargent County",322,8.7,80,9
"2040","ND","Sheridan County",206,16.5,56,8
"2041","ND","Sioux County",1240,34.9,477,9
"2042","ND","Slope County",96,14.3,30,9
"2043","ND","Stark County",3103,9.6,798,5
"2044","ND","Steele County",147,8.3,42,8
"2045","ND","Stutsman County",2182,11,464,7
"2046","ND","Towner County",187,9.4,58,9
"2047","ND","Traill County",631,8.4,126,8
"2048","ND","Walsh County",970,9.6,281,8
"2049","ND","Ward County",4874,7.4,1496,3
"2050","ND","Wells County",458,12.1,117,9
"2051","ND","Williams County",2946,7.7,992,5
"2052","OH","Adams County",5151,19,1672,8
"2053","OH","Allen County",13724,14.1,4300,3
"2054","OH","Ashland County",6888,13.5,2137,6
"2055","OH","Ashtabula County",16603,17.8,5739,1
"2056","OH","Athens County",13648,25.3,1868,4
"2057","OH","Auglaize County",3877,8.5,1091,4
"2058","OH","Belmont County",9327,15.3,2477,3
"2059","OH","Brown County",6498,15.1,2186,1
"2060","OH","Butler County",45064,11.9,11852,1
"2061","OH","Carroll County",3150,11.9,1015,2
"2062","OH","Champaign County",3385,8.8,1019,6
"2063","OH","Clark County",19949,15.2,6304,3
"2064","OH","Clermont County",18649,8.9,5115,1
"2065","OH","Clinton County",5080,12.5,1471,6
"2066","OH","Columbiana County",15127,15.7,3991,4
"2067","OH","Coshocton County",5915,16.2,1843,7
"2068","OH","Crawford County",5082,12.4,1497,4
"2069","OH","Cuyahoga County",193220,16,56776,1
"2070","OH","Darke County",4962,9.8,1334,6
"2071","OH","Defiance County",3332,8.9,1089,6
"2072","OH","Delaware County",11360,5,3055,1
"2073","OH","Erie County",8994,12.4,2602,3
"2074","OH","Fairfield County",13584,8.4,4277,1
"2075","OH","Fayette County",4064,14.4,1205,6
"2076","OH","Franklin County",195004,15.1,59699,1
"2077","OH","Fulton County",3333,8,1041,2
"2078","OH","Gallia County",4911,17.4,1561,6
"2079","OH","Geauga County",5953,6.3,1324,1
"2080","OH","Greene County",15986,9.9,3629,2
"2081","OH","Guernsey County",5810,15.4,1776,6
"2082","OH","Hamilton County",109421,13.6,31332,1
"2083","OH","Hancock County",7684,10.6,1697,4
"2084","OH","Hardin County",4200,14.8,1238,6
"2085","OH","Harrison County",2011,14.5,562,8
"2086","OH","Henry County",2299,8.5,665,6
"2087","OH","Highland County",5225,12.1,1823,6
"2088","OH","Hocking County",4335,15.9,1243,1
"2089","OH","Holmes County",3813,8.8,1336,9
"2090","OH","Huron County",7576,13.2,2651,4
"2091","OH","Jackson County",5553,17.3,1692,7
"2092","OH","Jefferson County",9884,16.1,2679,3
"2093","OH","Knox County",6835,11.4,1976,6
"2094","OH","Lake County",23146,10.1,6560,1
"2095","OH","Lawrence County",9382,16.9,2444,2
"2096","OH","Licking County",17281,9.7,4846,1
"2097","OH","Logan County",5101,11.2,1480,4
"2098","OH","Lorain County",34018,11,9947,1
"2099","OH","Lucas County",75810,18.2,22836,2
"2100","OH","Madison County",3714,9.3,1007,1
"2101","OH","Mahoning County",42602,19.5,12373,2
"2102","OH","Marion County",9444,16,2758,4
"2103","OH","Medina County",13795,7.6,3339,1
"2104","OH","Meigs County",4476,20.8,1289,8
"2105","OH","Mercer County",3165,7.6,893,7
"2106","OH","Miami County",10565,9.6,2806,2
"2107","OH","Monroe County",1930,14.8,580,8
"2108","OH","Montgomery County",79116,15.2,24862,2
"2109","OH","Morgan County",2051,15.2,607,8
"2110","OH","Morrow County",3812,10.8,989,1
"2111","OH","Muskingum County",14612,17.3,4595,4
"2112","OH","Noble County",1733,15,408,9
"2113","OH","Ottawa County",3440,8.8,803,3
"2114","OH","Paulding County",1869,10.1,598,8
"2115","OH","Perry County",4817,13.7,1465,1
"2116","OH","Pickaway County",6596,11.6,1847,1
"2117","OH","Pike County",5189,19.5,1598,9
"2118","OH","Portage County",20077,12.9,4328,2
"2119","OH","Preble County",4192,10.4,1269,6
"2120","OH","Putnam County",2201,6.5,517,6
"2121","OH","Richland County",16972,14.4,5356,3
"2122","OH","Ross County",11723,16.5,3550,4
"2123","OH","Sandusky County",5939,10.3,1724,4
"2124","OH","Scioto County",12775,18.6,3660,4
"2125","OH","Seneca County",6661,12.8,1930,4
"2126","OH","Shelby County",4924,10.4,1695,4
"2127","OH","Stark County",45043,12.3,13132,2
"2128","OH","Summit County",68166,12.9,21198,2
"2129","OH","Trumbull County",33696,17.2,10236,2
"2130","OH","Tuscarawas County",12127,13.4,3516,4
"2131","OH","Union County",3617,5.4,858,1
"2132","OH","Van Wert County",3071,10.9,925,6
"2133","OH","Vinton County",2329,18.8,700,8
"2134","OH","Warren County",14544,5.9,3582,1
"2135","OH","Washington County",7334,12.8,1803,4
"2136","OH","Wayne County",10366,9.2,3143,4
"2137","OH","Williams County",3951,11.1,1082,7
"2138","OH","Wood County",12420,9.8,2431,2
"2139","OH","Wyandot County",1861,8.8,528,7
"2140","OK","Adair County",4480,23.1,1577,8
"2141","OK","Alfalfa County",890,19.8,223,8
"2142","OK","Atoka County",2573,20,721,9
"2143","OK","Beaver County",666,13.5,221,9
"2144","OK","Beckham County",4264,21.8,1510,7
"2145","OK","Blaine County",1370,16.3,469,8
"2146","OK","Bryan County",8640,18.1,2515,6
"2147","OK","Caddo County",4757,21.1,1377,6
"2148","OK","Canadian County",13705,7.9,3804,1
"2149","OK","Carter County",8208,17.1,2708,5
"2150","OK","Cherokee County",8690,18.7,2418,6
"2151","OK","Choctaw County",3316,23.5,1083,9
"2152","OK","Cimarron County",380,17.4,156,9
"2153","OK","Cleveland County",37151,12.9,8123,1
"2154","OK","Coal County",1106,21.3,367,9
"2155","OK","Comanche County",21799,19.5,7333,3
"2156","OK","Cotton County",926,17.3,283,3
"2157","OK","Craig County",2568,18.8,892,6
"2158","OK","Creek County",11405,15.7,3339,1
"2159","OK","Custer County",4885,18.2,1463,5
"2160","OK","Delaware County",8665,21,2385,6
"2161","OK","Dewey County",581,13.8,200,9
"2162","OK","Ellis County",503,14,148,9
"2163","OK","Garfield County",8709,14.4,3208,3
"2164","OK","Garvin County",4625,18,1425,6
"2165","OK","Grady County",7276,13.1,2039,1
"2166","OK","Grant County",559,14,171,8
"2167","OK","Greer County",1178,25.7,331,9
"2168","OK","Harmon County",584,25.1,226,9
"2169","OK","Harper County",392,12.5,122,9
"2170","OK","Haskell County",2044,17.4,694,8
"2171","OK","Hughes County",2815,24.2,864,9
"2172","OK","Jackson County",3934,16.5,1417,7
"2173","OK","Jefferson County",1277,24.2,456,8
"2174","OK","Johnston County",1953,19.9,575,9
"2175","OK","Kay County",8006,18.8,2860,4
"2176","OK","Kingfisher County",1818,12,625,8
"2177","OK","Kiowa County",1795,21.7,601,8
"2178","OK","Latimer County",2131,23.1,617,9
"2179","OK","Le Flore County",10035,21,3031,6
"2180","OK","Lincoln County",7000,20.5,2459,1
"2181","OK","Logan County",5760,11.2,1581,1
"2182","OK","Love County",1468,14.4,450,9
"2183","OK","McClain County",4458,9.5,1437,1
"2184","OK","McCurtain County",6727,22.2,2332,7
"2185","OK","McIntosh County",3720,19.2,1113,8
"2186","OK","Major County",921,12.3,319,8
"2187","OK","Marshall County",2465,15.7,690,9
"2188","OK","Mayes County",6652,16.9,2068,6
"2189","OK","Murray County",1680,12.6,528,9
"2190","OK","Muskogee County",13091,20.8,4189,4
"2191","OK","Noble County",1406,13.3,414,8
"2192","OK","Nowata County",1628,17.4,540,8
"2193","OK","Okfuskee County",2563,25,698,8
"2194","OK","Oklahoma County",127113,16,44359,1
"2195","OK","Okmulgee County",6904,19.3,2209,1
"2196","OK","Osage County",6328,14.2,1747,1
"2197","OK","Ottawa County",6322,21.6,2006,6
"2198","OK","Pawnee County",2694,17.2,825,1
"2199","OK","Payne County",16281,22,2995,4
"2200","OK","Pittsburg County",7603,18.4,2341,7
"2201","OK","Pontotoc County",5238,13.9,1491,7
"2202","OK","Pottawatomie County",11982,17.1,3716,4
"2203","OK","Pushmataha County",2512,23.6,683,9
"2204","OK","Roger Mills County",600,18.3,212,9
"2205","OK","Rogers County",9427,9.6,2744,1
"2206","OK","Seminole County",4347,19,1402,7
"2207","OK","Sequoyah County",8866,22.3,3085,3
"2208","OK","Stephens County",6448,14.9,1971,4
"2209","OK","Texas County",2292,11.5,874,7
"2210","OK","Tillman County",1330,19.7,442,8
"2211","OK","Tulsa County",101475,15.1,32983,1
"2212","OK","Wagoner County",9217,10.4,2508,1
"2213","OK","Washington County",7954,15.1,2420,4
"2214","OK","Washita County",1831,17.4,561,9
"2215","OK","Woods County",1360,18,340,7
"2216","OK","Woodward County",2726,14.7,888,7
"2217","OR","Baker County",2677,16.2,648,7
"2218","OR","Benton County",14844,16.2,1689,3
"2219","OR","Clackamas County",29176,6.9,5910,1
"2220","OR","Clatsop County",6226,15.3,1315,4
"2221","OR","Columbia County",5248,9.8,1227,1
"2222","OR","Coos County",10100,16,2253,5
"2223","OR","Crook County",3416,12.8,865,3
"2224","OR","Curry County",3657,15.8,721,7
"2225","OR","Deschutes County",17944,8.7,3931,3
"2226","OR","Douglas County",17835,16,4424,4
"2227","OR","Gilliam County",236,11.8,59,9
"2228","OR","Grant County",1091,15.3,277,9
"2229","OR","Harney County",1111,15.2,300,9
"2230","OR","Hood River County",2356,10,636,6
"2231","OR","Jackson County",27404,12.6,6145,3
"2232","OR","Jefferson County",3390,13.9,1061,3
"2233","OR","Josephine County",13041,15.1,3383,3
"2234","OR","Klamath County",13321,19.3,3511,5
"2235","OR","Lake County",1317,17,349,9
"2236","OR","Lane County",54725,14.7,8957,2
"2237","OR","Lincoln County",7738,15.4,1626,5
"2238","OR","Linn County",18500,14.2,5183,3
"2239","OR","Malheur County",5686,19.7,1943,6
"2240","OR","Marion County",47544,14.1,14677,2
"2241","OR","Morrow County",1617,13.2,515,8
"2242","OR","Multnomah County",99712,12.8,17405,1
"2243","OR","Polk County",10413,11.8,2144,2
"2244","OR","Sherman County",281,14.5,83,9
"2245","OR","Tillamook County",3099,11.5,779,7
"2246","OR","Umatilla County",12500,16.5,4164,4
"2247","OR","Union County",3494,13.6,912,7
"2248","OR","Wallowa County",987,13,242,9
"2249","OR","Wasco County",3518,13.6,986,7
"2250","OR","Washington County",48317,8.1,10906,1
"2251","OR","Wheeler County",263,18.4,52,9
"2252","OR","Yamhill County",10972,10.6,2216,1
"2253","PA","Adams County",9485,9.3,2527,3
"2254","PA","Allegheny County",137660,11.6,33902,1
"2255","PA","Armstrong County",7512,11.9,1820,1
"2256","PA","Beaver County",17014,10.4,3963,1
"2257","PA","Bedford County",5257,11.2,1297,8
"2258","PA","Berks County",50100,11.9,16476,2
"2259","PA","Blair County",16835,14.4,4249,3
"2260","PA","Bradford County",8189,13.9,2275,6
"2261","PA","Bucks County",42929,6.7,9449,1
"2262","PA","Butler County",17776,9.3,3643,1
"2263","PA","Cambria County",16576,13.2,4323,3
"2264","PA","Cameron County",664,15.3,194,9
"2265","PA","Carbon County",7767,12,2107,2
"2266","PA","Centre County",23648,17.1,2255,3
"2267","PA","Chester County",33085,6.2,7596,1
"2268","PA","Clarion County",4932,14.2,1183,6
"2269","PA","Clearfield County",11254,15.4,2742,4
"2270","PA","Clinton County",5535,15.5,1341,6
"2271","PA","Columbia County",7760,12.6,1543,4
"2272","PA","Crawford County",9866,12.6,2860,4
"2273","PA","Cumberland County",21063,8.2,4918,2
"2274","PA","Dauphin County",36562,12.9,11851,2
"2275","PA","Delaware County",60085,10.8,16964,1
"2276","PA","Elk County",2988,10,777,7
"2277","PA","Erie County",36783,14.5,11160,2
"2278","PA","Fayette County",22787,18.9,6199,1
"2279","PA","Forest County",993,24.8,157,9
"2280","PA","Franklin County",12729,8.2,3798,3
"2281","PA","Fulton County",1819,12.7,516,8
"2282","PA","Greene County",4880,15.5,1153,6
"2283","PA","Huntingdon County",5034,13,1337,6
"2284","PA","Indiana County",12709,16.5,2666,4
"2285","PA","Jefferson County",8071,18.8,2128,7
"2286","PA","Juniata County",2468,10.8,670,8
"2287","PA","Lackawanna County",33535,16.1,8467,2
"2288","PA","Lancaster County",46567,8.6,14495,2
"2289","PA","Lawrence County",11209,13.6,3036,1
"2290","PA","Lebanon County",12219,8.7,3583,3
"2291","PA","Lehigh County",44748,12.1,14441,2
"2292","PA","Luzerne County",51977,16.4,16439,2
"2293","PA","Lycoming County",13762,12.8,3733,3
"2294","PA","Mc Kean County",5832,15.9,1536,7
"2295","PA","Mercer County",12920,12.6,3716,4
"2296","PA","Mifflin County",6868,15.2,2189,4
"2297","PA","Monroe County",15684,9.6,4270,4
"2298","PA","Montgomery County",58209,6.9,14324,1
"2299","PA","Montour County",1690,9.8,434,6
"2300","PA","Northampton County",29639,9.8,8634,2
"2301","PA","Northumberland County",10647,12.3,2744,4
"2302","PA","Perry County",4588,10.1,1359,2
"2303","PA","Philadelphia County",304389,20.3,81952,1
"2304","PA","Pike County",6088,10,1367,6
"2305","PA","Potter County",1996,12.7,556,9
"2306","PA","Schuylkill County",19457,14.2,5900,4
"2307","PA","Snyder County",4062,10.9,1079,7
"2308","PA","Somerset County",8149,12,2022,6
"2309","PA","Sullivan County",773,13.8,118,8
"2310","PA","Susquehanna County",4509,12,1117,8
"2311","PA","Tioga County",5091,13,1410,8
"2312","PA","Union County",3975,11.3,832,6
"2313","PA","Venango County",6717,13.8,1919,4
"2314","PA","Warren County",4181,11.4,1231,6
"2315","PA","Washington County",19620,9.5,4914,1
"2316","PA","Wayne County",6173,12.8,1373,6
"2317","PA","Westmoreland County",37249,10.8,8585,1
"2318","PA","Wyoming County",3417,13.5,823,2
"2319","PA","York County",38942,8.5,11902,2
"2320","RI","Bristol County",3750,7.9,678,1
"2321","RI","Kent County",15274,9,3160,1
"2322","RI","Newport County",9019,11.3,1819,1
"2323","RI","Providence County",80793,12.7,22481,1
"2324","RI","Washington County",11250,9.1,2136,1
"2325","SC","Abbeville County",3617,15.3,1033,6
"2326","SC","Aiken County",24516,14.1,6616,2
"2327","SC","Allendale County",2131,32.6,582,8
"2328","SC","Anderson County",28239,13.5,8642,2
"2329","SC","Bamberg County",3405,27.7,862,9
"2330","SC","Barnwell County",5419,27.2,2193,8
"2331","SC","Beaufort County",18161,9.5,4674,3
"2332","SC","Berkeley County",24616,9.8,7364,2
"2333","SC","Calhoun County",2044,14.6,629,2
"2334","SC","Charleston County",45722,11,11376,2
"2335","SC","Cherokee County",9306,16.8,2976,6
"2336","SC","Chester County",6425,20.1,2149,1
"2337","SC","Chesterfield County",8818,20.3,2873,6
"2338","SC","Clarendon County",5930,20,1582,8
"2339","SC","Colleton County",8823,23,2936,6
"2340","SC","Darlington County",13658,22.3,4117,3
"2341","SC","Dillon County",6645,24.4,2379,6
"2342","SC","Dorchester County",17124,10.2,5089,2
"2343","SC","Edgefield County",4264,16.8,1005,2
"2344","SC","Fairfield County",4160,20.7,1191,2
"2345","SC","Florence County",25245,18.8,8909,3
"2346","SC","Georgetown County",9000,13.8,2431,4
"2347","SC","Greenville County",61870,11.3,18233,2
"2348","SC","Greenwood County",11282,16.9,3593,4
"2349","SC","Hampton County",4059,24.2,1158,8
"2350","SC","Horry County",50083,12.9,12886,2
"2351","SC","Jasper County",5238,16.2,1722,3
"2352","SC","Kershaw County",8718,12.6,2841,2
"2353","SC","Lancaster County",11435,10.8,3140,1
"2354","SC","Laurens County",11202,16.7,3513,2
"2355","SC","Lee County",3554,24.5,1004,8
"2356","SC","Lexington County",34255,11.2,10034,2
"2357","SC","McCormick County",1618,17.6,324,8
"2358","SC","Marion County",7184,25.4,2209,6
"2359","SC","Marlboro County",6285,27.2,1814,6
"2360","SC","Newberry County",6541,17.5,2305,6
"2361","SC","Oconee County",11722,14.6,2999,4
"2362","SC","Orangeburg County",17088,21.7,5024,4
"2363","SC","Pickens County",21166,16.8,4298,2
"2364","SC","Richland County",63343,15.9,17758,2
"2365","SC","Saluda County",3046,16.1,1008,2
"2366","SC","Spartanburg County",48674,14,16104,2
"2367","SC","Sumter County",17764,17.5,5777,3
"2368","SC","Union County",6131,23.4,1863,2
"2369","SC","Williamsburg County",7015,24.8,1760,6
"2370","SC","York County",28093,9.6,8251,1
"2371","SD","Aurora County",295,11,102,9
"2372","SD","Beadle County",3121,16.3,1051,7
"2373","SD","Bennett County",904,27.7,365,9
"2374","SD","Bon Homme County",756,13.4,132,9
"2375","SD","Brookings County",3659,11.2,547,5
"2376","SD","Brown County",3680,10,866,5
"2377","SD","Brule County",647,12.6,188,9
"2378","SD","Buffalo County",621,33.1,258,9
"2379","SD","Butte County",1287,12,404,7
"2380","SD","Campbell County",147,11,31,9
"2381","SD","Charles Mix County",1925,21.4,717,9
"2382","SD","Clark County",414,11.1,132,9
"2383","SD","Clay County",2266,17.5,388,6
"2384","SD","Codington County",3243,11.4,764,5
"2385","SD","Corson County",1272,33.7,527,9
"2386","SD","Custer County",763,8.5,166,3
"2387","SD","Davison County",1839,9.4,530,7
"2388","SD","Day County",713,13.3,200,9
"2389","SD","Deuel County",394,9.2,94,9
"2390","SD","Dewey County",1360,26.2,590,9
"2391","SD","Douglas County",236,8.7,85,9
"2392","SD","Edmunds County",398,10.2,98,9
"2393","SD","Fall River County",1017,14.1,238,9
"2394","SD","Faulk County",256,13,71,9
"2395","SD","Grant County",732,9.9,195,9
"2396","SD","Gregory County",570,14.5,169,9
"2397","SD","Haakon County",193,10.6,57,9
"2398","SD","Hamlin County",457,7.2,159,9
"2399","SD","Hand County",260,8.5,68,9
"2400","SD","Hanson County",301,9,94,8
"2401","SD","Harding County",160,12.1,43,9
"2402","SD","Hughes County",1455,8.6,458,7
"2403","SD","Hutchinson County",691,9.8,236,8
"2404","SD","Hyde County",129,11.2,36,9
"2405","SD","Jackson County",814,29.8,348,9
"2406","SD","Jerauld County",204,12.7,61,9
"2407","SD","Jones County",120,14.1,44,9
"2408","SD","Kingsbury County",512,10,155,9
"2409","SD","Lake County",993,9.4,195,6
"2410","SD","Lawrence County",3011,11.1,512,6
"2411","SD","Lincoln County",2429,3.3,721,2
"2412","SD","Lyman County",705,19.3,261,9
"2413","SD","McCook County",451,8,150,2
"2414","SD","McPherson County",336,15.4,81,9
"2415","SD","Marshall County",469,11.1,140,9
"2416","SD","Meade County",2363,7.9,539,3
"2417","SD","Mellette County",468,26,183,9
"2418","SD","Miner County",230,10.5,54,8
"2419","SD","Minnehaha County",19711,9.7,5281,2
"2420","SD","Moody County",622,9.8,185,8
"2421","SD","Oglala Lakota County",4827,37.1,1926,9
"2422","SD","Pennington County",13052,11.6,4083,3
"2423","SD","Perkins County",404,14.5,121,9
"2424","SD","Potter County",217,9.2,57,9
"2425","SD","Roberts County",1624,16.3,573,9
"2426","SD","Sanborn County",287,12.4,74,9
"2427","SD","Spink County",635,10.7,169,9
"2428","SD","Stanley County",230,7.6,63,9
"2429","SD","Sully County",113,7.6,22,9
"2430","SD","Todd County",3244,35.6,1421,9
"2431","SD","Tripp County",865,16.1,271,9
"2432","SD","Turner County",748,8.4,186,2
"2433","SD","Union County",970,5.7,228,3
"2434","SD","Walworth County",819,15.8,235,9
"2435","SD","Yankton County",2481,11.4,594,7
"2436","SD","Ziebach County",1072,46.2,321,9
"2437","TN","Anderson County",11386,14.4,2995,2
"2438","TN","Bedford County",6882,13.3,2474,4
"2439","TN","Benton County",2800,17.6,869,9
"2440","TN","Bledsoe County",2830,21.6,638,8
"2441","TN","Blount County",13528,9.7,3570,2
"2442","TN","Bradley County",16404,15,4562,3
"2443","TN","Campbell County",8147,20.6,2077,2
"2444","TN","Cannon County",2150,14.4,704,1
"2445","TN","Carroll County",4803,17.4,1344,6
"2446","TN","Carter County",9386,16.9,2218,3
"2447","TN","Cheatham County",3625,8.7,1093,1
"2448","TN","Chester County",2740,16.7,791,3
"2449","TN","Claiborne County",5818,18.6,1628,6
"2450","TN","Clay County",1620,21.2,448,8
"2451","TN","Cocke County",7563,20.4,2149,6
"2452","TN","Coffee County",8657,14.5,2753,4
"2453","TN","Crockett County",2045,14.9,648,3
"2454","TN","Cumberland County",9385,14.6,2603,4
"2455","TN","Davidson County",85007,12.3,24615,1
"2456","TN","Decatur County",2207,19.2,560,9
"2457","TN","DeKalb County",3408,16.3,981,8
"2458","TN","Dickson County",5522,9.9,1698,1
"2459","TN","Dyer County",6368,17.7,2060,6
"2460","TN","Fayette County",5588,12.8,1408,1
"2461","TN","Fentress County",3653,18.9,1060,8
"2462","TN","Franklin County",5406,12.9,1612,7
"2463","TN","Gibson County",7373,14.7,2344,3
"2464","TN","Giles County",4570,15.3,1350,6
"2465","TN","Grainger County",3800,15.5,1001,2
"2466","TN","Greene County",10430,14.8,2642,4
"2467","TN","Grundy County",3127,22.8,790,8
"2468","TN","Hamblen County",11359,17.3,3343,3
"2469","TN","Hamilton County",47922,12.9,14918,2
"2470","TN","Hancock County",1807,26.7,516,8
"2471","TN","Hardeman County",4687,21.5,1451,6
"2472","TN","Hardin County",5262,19.7,1300,6
"2473","TN","Hawkins County",9995,17.2,2416,2
"2474","TN","Haywood County",3592,21,1089,6
"2475","TN","Henderson County",3865,14,1125,6
"2476","TN","Henry County",5898,18.3,1659,7
"2477","TN","Hickman County",3900,15.9,1160,1
"2478","TN","Houston County",1401,17,388,8
"2479","TN","Humphreys County",2763,14.7,732,8
"2480","TN","Jackson County",2427,20,603,8
"2481","TN","Jefferson County",7279,12.9,1959,3
"2482","TN","Johnson County",3505,20.9,819,8
"2483","TN","Knox County",67213,13.8,16172,2
"2484","TN","Lake County",1573,34,422,9
"2485","TN","Lauderdale County",5614,24.6,1961,6
"2486","TN","Lawrence County",6770,14.9,2274,6
"2487","TN","Lewis County",2075,16.1,598,8
"2488","TN","Lincoln County",5176,14.5,1499,6
"2489","TN","Loudon County",6316,10.5,1766,2
"2490","TN","McMinn County",8141,14.9,2260,4
"2491","TN","McNairy County",3994,15.5,1161,8
"2492","TN","Macon County",4279,16.2,1458,1
"2493","TN","Madison County",17629,18.6,6015,3
"2494","TN","Marion County",4405,15.1,1262,2
"2495","TN","Marshall County",3917,10.7,1289,6
"2496","TN","Maury County",11685,10.7,3393,1
"2497","TN","Meigs County",2116,15.6,623,8
"2498","TN","Monroe County",7706,16,2048,6
"2499","TN","Montgomery County",29603,12.6,9815,2
"2500","TN","Moore County",662,9.9,165,9
"2501","TN","Morgan County",3191,16.2,809,2
"2502","TN","Obion County",5791,19.3,1767,7
"2503","TN","Overton County",3299,14.3,915,9
"2504","TN","Perry County",1521,17.5,511,9
"2505","TN","Pickett County",842,16.6,208,9
"2506","TN","Polk County",2672,15,656,3
"2507","TN","Putnam County",13884,17.3,3171,4
"2508","TN","Rhea County",5320,16,1528,6
"2509","TN","Roane County",7448,13.4,1708,2
"2510","TN","Robertson County",7511,9.9,2443,1
"2511","TN","Rutherford County",32883,9.1,10150,1
"2512","TN","Scott County",4596,21,1261,8
"2513","TN","Sequatchie County",2530,15.1,742,2
"2514","TN","Sevier County",12045,12.2,3674,4
"2515","TN","Shelby County",163297,18.2,63637,1
"2516","TN","Smith County",2371,11.7,742,1
"2517","TN","Stewart County",1797,12.9,502,2
"2518","TN","Sullivan County",21649,13.5,5724,2
"2519","TN","Sumner County",18409,8.9,5534,1
"2520","TN","Tipton County",9010,14.8,3526,1
"2521","TN","Trousdale County",1535,15.8,375,1
"2522","TN","Unicoi County",2153,12.3,685,3
"2523","TN","Union County",3262,15.9,993,2
"2524","TN","Van Buren County",942,14.7,307,9
"2525","TN","Warren County",7424,17.6,2167,6
"2526","TN","Washington County",21645,16.3,4534,3
"2527","TN","Wayne County",2563,18,604,8
"2528","TN","Weakley County",5722,18.6,1270,6
"2529","TN","White County",3884,13.7,1178,7
"2530","TN","Williamson County",12845,4.9,3101,1
"2531","TN","Wilson County",10673,6.6,3152,1
"2532","TX","Anderson County",9602,21.4,2763,7
"2533","TX","Andrews County",2110,11.4,755,6
"2534","TX","Angelina County",14631,17.2,5409,5
"2535","TX","Aransas County",4261,17.1,1235,2
"2536","TX","Archer County",867,9.7,255,3
"2537","TX","Armstrong County",188,10.5,62,2
"2538","TX","Atascosa County",9468,18.4,3077,1
"2539","TX","Austin County",3665,11.6,1320,1
"2540","TX","Bailey County",1069,16.4,459,6
"2541","TX","Bandera County",2895,12.9,699,1
"2542","TX","Bastrop County",12206,11.3,4601,1
"2543","TX","Baylor County",593,17.4,171,9
"2544","TX","Bee County",5685,24.9,1725,6
